tx_a,tx_b,rq1-3_search,tod_overall,tod_approximation,property_gain_and_loss
0x016cb2cb293c535aaaa905fdc38f58b0676fc6f763c2622164893b2afa3bf540,0xfa9a32afffe9038c0109e05d6d5025d6862bfcc7511038501d7764d29a126da7,True,True,True,True
0x017da44a51ed96554951dfe8e05a2a4953f301b302b81180c790502378f0278d,0x4ebedf9394970f8f45c739d4e3c9339a4ea4a516c0cf0ea10b384fd2922b39d0,True,False,True,True
0x019419c0503782f2112e92d9c55be37b6f97c5de6d21bcd0506d0b5523f451d1,0xce58c7f319dcfb2ea23ca05898596ccbfa374ddb680f8ec11b2435eafd63fe15,True,True,True,True
0x019b81670a53b523e5a18d2e87fb26af1bd7c02f1cbe6991d3d08c76fc3236fc,0x86d469128dc88afe62d659432ca8dde567b9b87b61dd398917af613be55cae18,True,True,True,False
0x01a1e6debe6c24f98a133ef1c23f3296276315fdcaeabb6e7b35411bf22cff87,0xdfbfcb3cfea5818c09987a71dd3abbbf1e54892b3a80c48439fbe3b99f4ff0c7,True,True,True,True
0x01a3e858cb3e82e72288a62204bca069a533ff0a0673b1daacb0c441ef935b39,0xefad70534e64c6e343635643343300132f7a6c4da5c2bd9ee0b9453e0ad3874c,True,True,True,True
0x01b018127c476a502ec651f87f59794b90a78095f8596e220cec9eeeae5502ee,0x426a4b694a768d567d8b8b11df23f7bd8c90468a36f15ffcab6049026491a6f5,True,True,True,True
0x01caa7d2a3c07442af1582ab5462178a4f3bdf3f452662007d9d51487ab3e291,0x3ab18e18166b8e3990c55c1e22a5e539c5865a2a9d343448454b74f84a4c234a,True,True,True,True
0x01cc0add38d37b7053a399b8e39ee6093a468acd4790f66f2b5b2443ef0d98f5,0xb711dbf005a354fdcd098bd48357e7bd474c22803b137d5b145b5b804c272fa8,True,True,True,True
0x01cf00b556372be1bccfe82871884e6647b88d8382ae486db51e86f53b7fd8d1,0x2b581fb582374ee09bf12d1e83f4851440ebdab307551dbefa64722d924da900,True,True,True,True
0x01d252fefff4b8591d585c0be970e35282e48786d9735264427a2436d7d77c94,0x2ea0073c083e9bba03b96d0030aafd79eac4f2354d76a02289a7914d88fbc51b,True,True,True,True
0x01d65ccc72bc4f6cd188c2e7c540c00a19635266af3593e430d34afde5ec900e,0xe8bbb1c9b8725adc6d83f2b05b2d78667fd942eea7c69209ec6ee0018a04965d,True,True,True,True
0x01ea5826c22e70fe19072276d5a970f81555fd37bf77e689bbba7e3e14fea638,0xd46327b3f9273bbac4bd9914b1369b92e61d4e3a0a76ee73e5a484ad5c6e606b,True,True,True,True
0x01ebec91d5c9425850fafa674f4333c886a3761bd8ad34aea81507d7ae9c4a01,0x2dfcf62837cff026a5db175abc190a39c168228f6df5346c493e96dd76d03c4d,True,True,True,True
0x01ebec91d5c9425850fafa674f4333c886a3761bd8ad34aea81507d7ae9c4a01,0xb60df878dc0e887ee7581dcf67dfa56a41712be89044276f5bd897a19938d619,True,True,True,True
0x0212375c012d6be4cc11156b9d64137387183fee5a1f4f53bcad8eb50a4a215f,0xbf182d11858da33f69b9c32d27b1fb37c9be4369a639b2cca6e848a5b6884db0,True,True,True,True
0x023bde08113776e8742bcafe786b5b5c9a16503bc50cea66c19b8d0a5232f3bf,0xd9de088e500cdb6e9a4a0a18af29603ae4d84ae7ef6c9854c7bc173f49a65dc7,True,False,False,False
0x02469c4d8c80c607f141486e8a93b13b7012e93fb1b37a675b18fa2e1be001ac,0x548b243ec09b3f423d3dce5ab3f376047b670c8e277524e206c83790b4cc36ab,True,True,True,True
0x0252189e1b39179c88c4d32fc1c8d27f99ac10dd7758a21a4b26a333da2ddac2,0xa308cd3e660a86c2b817f2da78b73d21d9447f0dc94fdd47d4f6b3b8a2288279,True,True,True,True
0x0252189e1b39179c88c4d32fc1c8d27f99ac10dd7758a21a4b26a333da2ddac2,0xf19dcdedaad765bb911492a09a4e66ab0166e5345d2d3e795a521f0c400ad572,True,False,False,False
0x02693e151b6438a3ede0f7c1ab0c61be4b7ba64e669f4f5aa31fb3d77b56d2c7,0xc598039fd8ee3aaae5f65de64f22ba1bf47ce361b694de71fedaeb4fbfd02e35,True,True,True,True
0x02720168c9f2e3983271a5c1a9d0bc3ec322a14e097ac3056413836f6cb20829,0x536467a43953f3fcc685485db66132f39e39d0cba570985281b92e2797f01791,True,True,True,True
0x029fbc56c83f913e4550ef20a5bf739ddd6d046f37631ad143fc0847c3b6807b,0xb0e4b1225c914455696bc17a98d7b4b8564ea45dbb7dbddeae35b70f3c435d9c,True,True,True,True
0x02b37954474b04e5b9ca796053b1b290c9e0e4c7a28d4558d3d09ff0828fd806,0x5eddf889ed0e7d28cdbfe0aef53552847ade042eedac7447f22c54edf11d5989,True,True,True,True
0x02b37954474b04e5b9ca796053b1b290c9e0e4c7a28d4558d3d09ff0828fd806,0x7834b3219a816a8d738e3603471fea4cee0a4995ce5f3c64045c677f3e7c9cf4,True,True,True,True
0x02bcf253aebf254f3be8bfc226a7c8f6af48c378bdc2164f73bfc19ad76027be,0x89ec5150f20a4f35042f4b509491cf83ad6a4910adacf7c6cad1e9aee216d4c1,True,True,True,True
0x02c05c87cb4d6208c8e35f2cdbc077f8c2b3fcb5575e000cc836e72cd84254a4,0x603051eabbec42b4f03f4aa768589d4c4491f93deae9cab56e3ba6bc5fa03ce9,True,True,True,True
0x02c57edf2fa16bb6c41ce3594e66fa6f7a74b795487d20baffada1bdff4bd153,0x467e0e020ade8c44f5e86e9c5554d49caa0ded1f59498a40ecba13104eca21af,True,True,True,True
0x02c57edf2fa16bb6c41ce3594e66fa6f7a74b795487d20baffada1bdff4bd153,0xb40c6df59bbeec641ec16d25620df61bc0811b45240be7442d6a42cc2feb57cb,True,True,True,True
0x02c57edf2fa16bb6c41ce3594e66fa6f7a74b795487d20baffada1bdff4bd153,0xc6bc21d393099b27fb0bae179efbd138d3a156c83b76e62f8902043e2990abe4,True,True,True,True
0x02dd2a7fd15aac448f6e2682c1d95beddb4dfa8ab58603a09b583358e1e82ec1,0xe67518e8cc977ea01ce420bed179f7e13115d73255663d506bbb6b382ad4d461,True,True,True,True
0x02e0b48ff3615134cf21fb5f0d7bd753cb363179829ec10939d7de8e40b2af42,0xb83d06e62c5a41fef50c5aad896f43a43b2e0a35a31b16c98993485f76eb0c87,True,True,True,True
0x02e0b48ff3615134cf21fb5f0d7bd753cb363179829ec10939d7de8e40b2af42,0xbd5e931bdfd037b671f156dd89813cfb416b33df5f2c966798809f17db07535c,True,True,True,True
0x02e0b48ff3615134cf21fb5f0d7bd753cb363179829ec10939d7de8e40b2af42,0xfcc163f0fefc183f88da80cd751c0f9fda3f50e52178bd90fd87063e83c4e8aa,True,True,True,True
0x02e1341b252b4fb6386195aebc77ed81b84c19f95c507e949bdfb20bf355d64b,0xd1bfe665193342424f4e63eb752f2e143f68ddc668b172317f9c661f645476ae,True,True,True,True
0x02e73cce9577d6014494c4cbb89ae66fb76d8751d2d345903c6ca5505adec7cd,0x28bcbbea9b0bbc4f291e465710c44ed2ef6a5aaf4d236d5144835315d2b757b8,True,False,False,True
0x02e73cce9577d6014494c4cbb89ae66fb76d8751d2d345903c6ca5505adec7cd,0x7fb781d2870529586514bf97634a71c915eedbfff744f3ea2e9a0c4e9cc3f399,True,True,True,True
0x0314dae5b1a583b952a4b56e2a35e7a65b5eaeae12220567c5ccb181fcd50df8,0xe05bd1f95254e43e269d9a3366dd8332eb57cdf075d367ea4cc1f4baa5876010,True,True,True,False
0x032297246529c6ea716f12872a6fdd9b2f371e5746aacddc204c0eb9d23b1c41,0x9275d8c288bf90f00a732c7374158dff994f78385e4bbf8eb8408db3ddab8179,True,True,True,True
0x0322bc554554c1c42ea4796badc5430b67cc167d75d3900d599896f143cea4eb,0x9c9ae07c777a3aaec444afbb384dfa07c9b479a2ba9f3584ac347afe03451b8a,True,False,False,False
0x0339e8548affb5394ad40360fefc2c9300bf49cbab1c924748cb4d255beb6986,0x47b9379ceeb2581e05e45c3dafd3f0e719d9641a0879ba7c15b537d69fb90972,True,True,True,True
0x0339e8548affb5394ad40360fefc2c9300bf49cbab1c924748cb4d255beb6986,0xdde4e1739f05c790499d55a2a0c4e3bc6b6a82e87a1cfae5b3ead7fa6fc862eb,True,True,True,True
0x033de44533570e795659807d3a0aa65d288762f7db776a2831bca57395d1b4a3,0xfdafad404c145cdbe14dc1ec13468c739faf7be86ead16638a61c2ad113d7ddc,True,True,True,True
0x0352e872b50ce9cfd46096fcfb2593df5119cb328d0f87d2bbcd32adf0555057,0x2ed5098ea01545c859e352fc33c6b561e015e33cafef7ec30cb51b14fbb47892,True,True,True,False
0x0362548abf2c8a0bd109d54f027e21dd14b265c43f495835b5292db9ad9cc1d1,0xb10f5f8a599c357ef6c05c3a765006cad7a20c880d46075acb5f3c3f9140e039,True,True,True,True
0x0370f0cb0523a16890d60f4eb680f6ccb4b19f1630670a32cc8f532e9af8c643,0x82d549526961529d17b04b202660ced2adbe0a18fc44cc3eef5bb68ebedcde00,True,True,True,True
0x037319ed0fcd3c07f4bbdc8665938356ce38cc6437b59acc68ad0a9427500744,0x033de44533570e795659807d3a0aa65d288762f7db776a2831bca57395d1b4a3,True,True,True,True
0x037319ed0fcd3c07f4bbdc8665938356ce38cc6437b59acc68ad0a9427500744,0xb5757d6584bc340f8a8c1762b359cee0f162ea58d5ed00ed290caf5c979b188e,True,True,True,True
0x037319ed0fcd3c07f4bbdc8665938356ce38cc6437b59acc68ad0a9427500744,0xfdafad404c145cdbe14dc1ec13468c739faf7be86ead16638a61c2ad113d7ddc,True,True,True,True
0x0374c42a56cb151f69661be1126d079f5aa967c13582374d52a2d1d489a28680,0x865fc0c213d05fa9a327d88842fb50e6ba28d04efac12fe670ba212bf5ece508,True,True,True,True
0x03a22654835e482702902e3563568917acab409c846f376da9b5d3af2dd22f20,0xd7145a282c1fcb2add97f62a4f729ca7294a50b81ff471a12f653cd5a03039b6,True,True,True,False
0x03a7cec93dbff4b15678ecc43564dffe007478757d0891019498ce84330778e4,0x1e7323cd2d796e4b78f951e8a1348227c70690453ba2dc502d42570810d3718f,True,True,True,False
0x03ab9622906ae14e6e68357715b81fa87bfaaeef5ae5e4287af8dbfbe2ad5a13,0x24f32360ab30097b56afcdfdb701653c17df067bf40b6ef16e15d78ace6b1171,True,True,True,True
0x03b5205ac71e2cbb88c3d93d7befbd8c1eae31d01447f78d83bce4dfff58407f,0x69d8ad0dd139291b0abc341937a11c2c0627282909b3d76bdd7540b5aeef41a5,True,False,False,False
