task,elapsed_ms
t_race|mine|fetch,1118115
t_race|mine|skelcodes,42449
t_race|mine|candidates,155050
t_race|mine|filter,1026951
t_race|mine|save_candidates,190
t_race|mine|stats,1518
t_race|mine,2344346
t_race,2344346
