tx_a,tx_b,result
0x05a73ca13b230a5406b98c0deac77306319d7ccf2354bf1fae301f804f605e0e,0x90f3faf717d949cf01bbb88b81bf0c2036fe13c72ce30344c16a596b24e1c215,not TOD
0x041137a2232ca0d0a7e1e81affbc9de9eaaa3c4c0e461e4dabad599b981755ad,0x6e2f0596498ba147b5aad65873cf25bea4691604ee034f8ade7060991162099a,insufficient ether replay detected
0x0468dedc778fb42d4a43d97c1f9880fccb4daa94aede629cff44a852dac889a7,0x969498c866d7d724069033acff635111a773524fe391494c979d4bfdc54d4791,TOD
0x05c5cd81439e360943cf363f9958f0fcb0e48573eff31e103f040a2fceb037bd,0xe0385d87657bd7e5b0029d1c46e9162d06fe0da110ca09e9ac63bac299b92eae,not TOD
0x06a4e71144058db17a20bf46d48216bcaf90a6b7afdaeda62b6ac94aba09e27c,0x53181f2c7c702c3e82db68e261059f8180e9de3c7ef2d8f0f0a9b61fc14f7cd6,insufficient ether replay detected
0x0734750d2d506c44fb7cfb70a6d6c743b2c00c76d09bdf3c62a5a6c1db896eaa,0x53ddbc410540d26350cdaf26e596127d4c74e3b7f6ab8c9eb4feac57b6d2efac,insufficient ether replay detected
0x07386cb39c79fee5ec9926d4b69a726dcf00d74ebc73b0fbc97a605cbc972504,0xe37f5d63af688578fa145a1900bc99446fbdb1b4658fce77bb1a2d3b1dc0a078,insufficient ether replay detected
0x0631a289c34b01b6cd9e0ed82bfaa1710a657aa391fd6eada187fe7c290253a9,0x2cbd729160d5531c6be9c09cf297f7cd01a55bd211349d85b9c3153f013bb0d1,not TOD
0x0519835345d5ed1fbd9ec370f298f7190c1bead37f94647a4248eaa799312f54,0xf5b1f157a70e5b28f4629b2919bf7f4f63d36eab905bc8c2b0f78afa89f35ca6,not TOD
0x068b04a80112e36d2356a1b491f2bb73bdd661c1ce8fcc47f88e7281d2e0eafa,0xed5cc50c3c63f279a70c0a9782f4b62b0b212f6cded85c2aaa4d39bd4af525d5,insufficient ether replay detected
0x063d50abd5da18617a51b243b70450efec449b0d9ba285ecb40b401d7471fdf1,0xf1eff70b6c675fd0fe6384b76f4575807bd99c838cdbd914e3c87c74fd6b7f5d,not TOD
0x0559abab3c7bb1fc5b469e7791a514dd29f7671f931ec70ad7c006f6256f7392,0x9f450f925c3bfef85e62e993cd0bc10e3c1249dee9f03236f83cae43261d8798,TOD
0x073585deb17e949351a832e502a5cfdf7ecf0cea79deec5c7557f4e077a0edb0,0x8ae5ec23043ac26ba9990929090df6fbbdc2d9564fa15a125e898213619b5f8e,TOD
0x06468e3628b359b1a2ede186460cb36abb7c994738fa88098fad3603622ed5f3,0x16ddf507456047d2d510f4f7a366d46c7684a6e937ea764a8e87369e0e80a1f6,TOD
