tx_write_hash,tx_access_hash,block_dist,types
0x018211eabd811b1855db942a15cbea243e4745d1fc27325530ea404a721ff055,0x23d57538ca656d2d6d6ccb3d4c0f77f57279aaffc49145a95d9f90c90ba50f4d,7,balance
0x0182bafe2d189760130be4dfef6cfd76f0fdb8ad024cf3f2543133e3cf4397f8,0x7a983387bbfb3d57a8cd2f8401a102a631459bf045f3d10f904bbbd93787ca1e,1,balance
0x0182e7772c3ee4ffd8db8bf456f17425dc26e705ae24154d4c4a11f66d99b4af,0x5060ca575a97fc833d4cfe000b1c0e221f2aafd4ecfb645d81a46e1168bf8cf8,0,balance
0x0182e7772c3ee4ffd8db8bf456f17425dc26e705ae24154d4c4a11f66d99b4af,0xb22cd99de09f104414d31a58f9c32fa9d1e1785c9d05615e3f468d9df49c1212,0,balance
0x0182e7772c3ee4ffd8db8bf456f17425dc26e705ae24154d4c4a11f66d99b4af,0xb35d204a39ea9a8bf74e96ba4de49cef2f4b960d718e27b7f11579fd3d534415,0,balance
0x018338fbec75628fac3ca2e8949a258201da18cb79761c1247fe4537f6a715a8,0x621cdc185bfa2b3789879e7296d185317b239c49a7753832e37e2afa6c08b4ed,0,balance|storage
0x018c9ffd686b90619710b3a00a4ae5c4c85b6944fb3ec59d82be9105be0852ee,0x891708f6d0c8bd434edba85227589f3c64e8e1262107a09a9c00f2351f59b4c9,9,balance
0x019f5d348c4bd1fed5c26b81c10cac64b4d498b11bcab62e25c3404eccfbaa3f,0xcf26b1918d7b574893be2832f6c2755e7ef67240aea779722d698bddad200669,0,balance
0x019fc858d430632488aa59bda2f70aa28b4613864599030947ae835b871d7216,0xca192258600038c5a0af6bcc2b3f2c1b8b5f447b66906c51d0ca4df4587b1de9,0,storage
0x01a9ab17ac0238742c48797c4b96a6bec50c45f17ad08e436019fc6bb1e05793,0x32399802455a84c714a714b9cd41feb0b17fda7d8b194ddfb2a58bd920085827,0,balance
0x01a9ab17ac0238742c48797c4b96a6bec50c45f17ad08e436019fc6bb1e05793,0x5c0300225600db8d7d3fa97a73d3e028c9c512f57d1183ae83bf52a60bba15e6,0,balance
